Nome da Marca;Tipo;Custo Unitario;Preco Unitario;ID Produto;Categoria
Contoso;Econômico;10,69;20,96;873;Acessório para Computador
Contoso;Econômico;6,63;13;879;Acessório para Computador
Contoso;Econômico;6,63;13;880;Acessório para Computador
Contoso;Econômico;6,63;13;881;Acessório para Computador
Contoso;Econômico;6,63;13;882;Acessório para Computador
Contoso;Econômico;25,49;50;887;Acessório para Computador
Contoso;Econômico;25,49;50;888;Acessório para Computador
Contoso;Econômico;25,49;50;889;Acessório para Computador
Contoso;Econômico;25,49;50;890;Acessório para Computador
Contoso;Econômico;9,13;17,9;833;Acessório para Computador
Contoso;Econômico;11,68;22,9;834;Acessório para Computador
Contoso;Econômico;26,97;52,9;835;Acessório para Computador
Contoso;Econômico;8,11;15,9;836;Acessório para Computador
Contoso;Econômico;6,07;11,9;837;Acessório para Computador
Contoso;Econômico;7,9;15,5;838;Acessório para Computador
Contoso;Econômico;7,09;13,9;841;Acessório para Computador
Contoso;Econômico;13,71;26,9;842;Acessório para Computador
Contoso;Econômico;13,71;26,9;843;Acessório para Computador
Contoso;Econômico;13,71;26,9;844;Acessório para Computador
Contoso;Econômico;15,27;29,95;800;Acessório para Computador
Contoso;Econômico;10,15;19,9;801;Acessório para Computador
Contoso;Econômico;7,9;15,5;802;Acessório para Computador
Contoso;Econômico;9,13;17,9;803;Acessório para Computador
Contoso;Econômico;11,68;22,9;804;Acessório para Computador
Contoso;Econômico;26,97;52,9;805;Acessório para Computador
Contoso;Econômico;8,11;15,9;806;Acessório para Computador
Contoso;Econômico;6,07;11,9;807;Acessório para Computador
Contoso;Econômico;6,6;12,95;808;Acessório para Computador
Contoso;Econômico;20,34;39,9;809;Acessório para Computador
Contoso;Econômico;7,9;15,5;767;Acessório para Computador
Contoso;Econômico;9,13;17,9;768;Acessório para Computador
Contoso;Econômico;11,68;22,9;769;Acessório para Computador
Contoso;Econômico;26,97;52,9;770;Acessório para Computador
Contoso;Econômico;8,11;15,9;771;Acessório para Computador
Contoso;Econômico;6,07;11,9;772;Acessório para Computador
Contoso;Econômico;8,11;15,9;773;Acessório para Computador
Contoso;Econômico;7,9;15,5;774;Acessório para Computador
Contoso;Econômico;7,09;13,9;777;Acessório para Computador
Contoso;Econômico;6,6;12,95;778;Acessório para Computador
Contoso;Econômico;20,34;39,9;779;Acessório para Computador
Contoso;Econômico;6,6;12,95;782;Acessório para Computador
Contoso;Econômico;6,88;13,5;783;Acessório para Computador
